lang,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,1.0,0.7502846285700798,0.7189552402496338,0.7425459277629852,0.7493294590711593,0.7728069007396698,0.7860671749711037,0.7360817915201188,0.8058062034845352,0.8710839547216892,0.7263719937205315
de,0.7502846285700798,1.0,0.811958898305893,0.8689089182019234,0.8820203545689583,0.7865493640303611,0.7333477681875229,0.7835804353654384,0.7999271643161774,0.7258558610081672,0.7810912737250328
en,0.7189552402496338,0.811958898305893,1.0,0.8224486145377159,0.8185840010643005,0.7471550914645195,0.7230395464599133,0.7291760557889938,0.751359975039959,0.7176256719231605,0.7715892910957336
es,0.7425459277629852,0.8689089182019234,0.8224486145377159,1.0,0.8946596488356591,0.7814384073019027,0.73733294069767,0.7913463477790356,0.7898599630594254,0.7309818805754185,0.7856781795620918
fr,0.7493294590711593,0.8820203545689583,0.8185840010643005,0.8946596488356591,1.0,0.7938134559988975,0.7297508564591407,0.7931087939441204,0.8015822836756706,0.7295943357050418,0.7813275581598282
ja,0.7728069007396698,0.7865493640303611,0.7471550914645195,0.7814384073019027,0.7938134559988975,1.0,0.6883829367160798,0.7212415017187596,0.7711818146705628,0.7426327548921108,0.7709434729814529
ru,0.7860671749711037,0.7333477681875229,0.7230395464599133,0.73733294069767,0.7297508564591407,0.6883829367160798,1.0,0.7045436689257621,0.7201416802406311,0.791340913772583,0.7135342514514923
sw,0.7360817915201188,0.7835804353654384,0.7291760557889938,0.7913463477790356,0.7931087939441204,0.7212415017187596,0.7045436689257621,1.0,0.7694110128283501,0.7095648236572742,0.7031530450284481
te,0.8058062034845352,0.7999271643161774,0.751359975039959,0.7898599630594254,0.8015822836756706,0.7711818146705628,0.7201416802406311,0.7694110128283501,1.0,0.741610790938139,0.7409964615106582
th,0.8710839547216892,0.7258558610081672,0.7176256719231605,0.7309818805754185,0.7295943357050418,0.7426327548921108,0.791340913772583,0.7095648236572742,0.741610790938139,1.0,0.7153229369223117
zh,0.7263719937205315,0.7810912737250328,0.7715892910957336,0.7856781795620918,0.7813275581598282,0.7709434729814529,0.7135342514514923,0.7031530450284481,0.7409964615106582,0.7153229369223117,1.0
