lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy
bn,0,planner,Planner,False,5,18,4x37x2560,-8.4862642288208,304.0,8.0,-8.4862642288208,3,0.25,1000,final_layer
bn,0,critic,Critic,False,5,18,4x37x2560,-12.54417896270752,1657.0,8.0,-10.363527297973633,,0.0,1000,final_layer
bn,0,refiner,Refiner,False,5,18,4x37x2560,-24.549129486083984,22484.0,8.0,-11.014238357543945,,0.0,1000,final_layer
bn,0,judger,Judger,False,5,18,1x37x2560,-0.9061002731323242,1.0,1.0,-0.9061002731323242,0,1.0,1000,final_layer
bn,1,planner,Planner,True,3,3,4x37x2560,-12.998363494873047,808.0,19.0,-10.240976333618164,3,0.25,1000,final_layer
bn,1,critic,Critic,True,3,3,4x37x2560,-15.808967590332031,5695.0,19.0,-10.056303977966309,,0.0,1000,final_layer
bn,1,refiner,Refiner,True,3,3,4x37x2560,-26.43456268310547,56017.0,19.0,-10.691143035888672,,0.0,1000,final_layer
bn,1,judger,Judger,True,3,3,1x37x2560,-10.496687889099121,104.0,19.0,-10.199969291687012,0,1.0,1000,final_layer
bn,2,planner,Planner,True,70000,70000,4x37x2560,-8.99470329284668,93.0,49.0,-8.39697265625,2,0.5,1000,final_layer
bn,2,critic,Critic,True,70000,70000,4x37x2560,-18.85658073425293,1568.0,49.0,-9.69144058227539,,0.0,1000,final_layer
bn,2,refiner,Refiner,True,70000,70000,4x37x2560,-12.67647933959961,991.0,49.0,-9.509869575500488,3,0.25,1000,final_layer
bn,2,judger,Judger,True,70000,70000,1x37x2560,-12.104630470275879,168.0,49.0,-9.336784362792969,0,1.0,1000,final_layer
bn,3,planner,Planner,False,180,540,4x37x2560,-10.05134391784668,97.0,38.0,-8.365887641906738,2,0.5,1000,final_layer
bn,3,critic,Critic,False,180,540,4x37x2560,-11.063396453857422,278.0,38.0,-8.75365161895752,3,0.25,1000,final_layer
bn,3,refiner,Refiner,False,180,540,4x37x2560,-21.411344528198242,6518.0,38.0,-10.686466217041016,,0.0,1000,final_layer
bn,3,judger,Judger,False,180,540,1x37x2560,-11.159928321838379,112.0,38.0,-10.510913848876953,0,1.0,1000,final_layer
