lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy
bn,0,planner,Planner,False,5,18,4x37x2560,-8.482895851135254,327.0,8.0,-8.482895851135254,3,0.25,1000,final_layer
bn,0,critic,Critic,False,5,18,4x37x2560,-13.865321159362793,1851.0,8.0,-10.127296447753906,,0.0,1000,final_layer
bn,0,refiner,Refiner,False,5,18,4x37x2560,-29.343828201293945,26189.0,8.0,-9.437211990356445,,0.0,1000,final_layer
bn,0,judger,Judger,False,5,18,1x37x2560,-0.8968296051025391,1.0,1.0,-0.8968296051025391,0,1.0,1000,final_layer
bn,1,planner,Planner,True,3,3,4x37x2560,-13.190936088562012,1071.0,19.0,-10.314657211303711,,0.0,1000,final_layer
bn,1,critic,Critic,True,3,3,4x37x2560,-15.43532657623291,4789.0,19.0,-9.7112455368042,,0.0,1000,final_layer
bn,1,refiner,Refiner,True,3,3,4x37x2560,-30.73829460144043,65061.0,19.0,-10.130946159362793,,0.0,1000,final_layer
bn,1,judger,Judger,True,3,3,1x37x2560,-10.428132057189941,97.0,19.0,-10.205559730529785,0,1.0,1000,final_layer
bn,2,planner,Planner,False,195000,70000,4x37x2560,-9.225054740905762,92.0,49.0,-8.193671226501465,2,0.5,1000,final_layer
bn,2,critic,Critic,False,195000,70000,4x37x2560,-17.773483276367188,3931.0,49.0,-9.607765197753906,,0.0,1000,final_layer
bn,2,refiner,Refiner,False,195000,70000,4x37x2560,-20.941781997680664,3273.0,49.0,-9.207014083862305,,0.0,1000,final_layer
bn,2,judger,Judger,False,195000,70000,1x37x2560,-11.84663200378418,182.0,49.0,-9.311744689941406,0,1.0,1000,final_layer
bn,3,planner,Planner,False,180,540,4x37x2560,-9.16104793548584,82.0,38.0,-8.327865600585938,2,0.5,1000,final_layer
bn,3,critic,Critic,False,180,540,4x37x2560,-12.301270484924316,346.0,38.0,-8.514737129211426,3,0.25,1000,final_layer
bn,3,refiner,Refiner,False,180,540,4x37x2560,-28.5468807220459,32389.0,38.0,-8.973692893981934,,0.0,1000,final_layer
bn,3,judger,Judger,False,180,540,1x37x2560,-11.296174049377441,129.0,38.0,-10.583375930786133,0,1.0,1000,final_layer
bn,4,planner,Planner,False,3,20,4x37x2560,-11.957472801208496,3115.0,12.0,-10.864226341247559,2,0.5,1000,final_layer
bn,4,critic,Critic,False,3,20,4x37x2560,-23.815893173217773,4554.0,12.0,-9.734149932861328,,0.0,1000,final_layer
