lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy
bn,0,planner,Planner,False,5,18,4x37x2560,-8.605594635009766,374.0,8.0,-8.605594635009766,3,0.25,1000,final_layer
bn,0,critic,Critic,False,5,18,4x37x2560,-13.300630569458008,1786.0,8.0,-10.32124137878418,,0.0,1000,final_layer
bn,0,refiner,Refiner,False,5,18,4x37x2560,-27.790124893188477,32183.0,8.0,-10.891322135925293,,0.0,1000,final_layer
bn,0,judger,Judger,False,5,18,1x37x2560,-0.946527361869812,1.0,1.0,-0.946527361869812,0,1.0,1000,final_layer
bn,1,planner,Planner,True,3,3,4x37x2560,-13.15493106842041,911.0,19.0,-10.510530471801758,3,0.25,1000,final_layer
bn,1,critic,Critic,True,3,3,4x37x2560,-14.466487884521484,4407.0,19.0,-10.028425216674805,,0.0,1000,final_layer
bn,1,refiner,Refiner,True,3,3,4x37x2560,-30.660200119018555,59784.0,19.0,-10.448022842407227,,0.0,1000,final_layer
bn,1,judger,Judger,True,3,3,1x37x2560,-10.283361434936523,92.0,19.0,-10.167261123657227,0,1.0,1000,final_layer
bn,2,planner,Planner,False,12,70000,4x37x2560,-9.462894439697266,99.0,49.0,-8.26386833190918,2,0.5,1000,final_layer
bn,2,critic,Critic,False,12,70000,4x37x2560,-13.841760635375977,963.0,49.0,-9.13509464263916,3,0.25,1000,final_layer
bn,2,refiner,Refiner,False,12,70000,4x37x2560,-14.177196502685547,1291.0,49.0,-9.287922859191895,,0.0,1000,final_layer
bn,2,judger,Judger,False,12,70000,1x37x2560,-11.899444580078125,178.0,49.0,-9.313993453979492,0,1.0,1000,final_layer
bn,3,planner,Planner,False,180,540,4x37x2560,-9.513757705688477,90.0,38.0,-8.202457427978516,2,0.5,1000,final_layer
bn,3,critic,Critic,False,180,540,4x37x2560,-12.043641090393066,296.0,38.0,-8.508865356445312,3,0.25,1000,final_layer
bn,3,refiner,Refiner,False,180,540,4x37x2560,-28.171899795532227,22450.0,38.0,-9.432753562927246,,0.0,1000,final_layer
bn,3,judger,Judger,False,180,540,1x37x2560,-11.256780624389648,110.0,38.0,-10.49357795715332,0,1.0,1000,final_layer
bn,4,planner,Planner,False,25,20,4x37x2560,-11.237776756286621,2585.0,12.0,-10.808050155639648,,0.0,1000,final_layer
bn,4,critic,Critic,False,25,20,4x37x2560,-22.009479522705078,3573.0,12.0,-9.711363792419434,,0.0,1000,final_layer
bn,4,refiner,Refiner,False,25,20,4x37x2560,-29.640625,38784.0,12.0,-7.862486362457275,,0.0,1000,final_layer
bn,4,judger,Judger,False,25,20,1x37x2560,-10.648530006408691,122.0,12.0,-10.59782600402832,0,1.0,1000,final_layer
bn,5,planner,Planner,False,8,64,4x37x2560,-9.444923400878906,562.0,42.0,-9.444923400878906,3,0.25,1000,final_layer
bn,5,critic,Critic,False,8,64,4x37x2560,-14.538365364074707,3306.0,42.0,-10.669363021850586,,0.0,1000,final_layer
