lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy,cosine_to_bn,cosine_to_de,cosine_to_en,cosine_to_es,cosine_to_fr,cosine_to_ja,cosine_to_ru,cosine_to_sw,cosine_to_te,cosine_to_th,cosine_to_zh
bn,0,planner,Planner,False,5,18,4x37x2560,-9.48420238494873,729.0,8.0,-9.48420238494873,3,0.25,1000,final_layer,1.0,0.7543351650238037,0.6844547390937805,0.7367488741874695,0.7480732798576355,0.8215044140815735,0.8838556408882141,0.7276646494865417,0.7544142007827759,0.9454923272132874,0.7601011991500854
bn,0,critic,Critic,False,5,18,4x37x2560,-14.031720161437988,2114.0,8.0,-10.435707092285156,,0.0,1000,final_layer,1.0,0.726811408996582,0.7273291945457458,0.7260666489601135,0.7241739630699158,0.8142402768135071,0.9184405207633972,0.6677632331848145,0.9533324241638184,0.9242005348205566,0.7149941921234131
bn,0,refiner,Refiner,False,5,18,4x37x2560,-29.750032424926758,33116.0,8.0,-8.789837837219238,,0.0,1000,final_layer,1.0,0.7425413131713867,0.732871413230896,0.7379620671272278,0.7377306818962097,0.7616320848464966,0.6957948803901672,0.7021222710609436,0.8783668279647827,0.8544535636901855,0.5283908843994141
bn,0,judger,Judger,False,5,18,1x37x2560,-0.9760205149650574,1.0,1.0,-0.9760205149650574,0,1.0,1000,final_layer,1.0,0.7997254133224487,0.7372910380363464,0.7892942428588867,0.7925095558166504,0.7659568190574646,0.81842440366745,0.7892616391181946,0.8427872657775879,0.8393914699554443,0.7549536824226379
bn,1,planner,Planner,True,3,3,4x37x2560,-12.560771942138672,1066.0,19.0,-10.574861526489258,,0.0,1000,final_layer,1.0,0.7473667860031128,0.6968098282814026,0.7328585386276245,0.7380071878433228,0.7646706700325012,0.6736913323402405,0.7218976616859436,0.7778260707855225,0.9379183650016785,0.6847981810569763
bn,1,critic,Critic,True,3,3,4x37x2560,-15.312297821044922,4589.0,19.0,-9.80313491821289,,0.0,1000,final_layer,1.0,0.7391890287399292,0.7165440320968628,0.7276159524917603,0.7363197803497314,0.7203292846679688,0.7055525779724121,0.7301666736602783,0.7519338726997375,0.9269400835037231,0.726426899433136
bn,1,refiner,Refiner,True,3,3,4x37x2560,-31.261720657348633,92530.0,19.0,-8.814393997192383,,0.0,1000,final_layer,1.0,0.7527360320091248,0.7035140991210938,0.7539229393005371,0.7586994767189026,0.8277348875999451,0.7375683188438416,0.7703364491462708,0.9263825416564941,0.8479313254356384,0.7076643705368042
bn,1,judger,Judger,True,3,3,1x37x2560,-10.487485885620117,103.0,19.0,-10.170734405517578,0,1.0,1000,final_layer,1.0,0.7970153093338013,0.7421921491622925,0.7878687381744385,0.791207492351532,0.7434306740760803,0.8168222904205322,0.7742205262184143,0.8378102779388428,0.8404267430305481,0.7609153389930725
bn,2,planner,Planner,True,70000,70000,4x37x2560,-11.935482025146484,138.0,49.0,-8.324576377868652,2,0.5,1000,final_layer,1.0,0.7509076595306396,0.7359132170677185,0.7303813099861145,0.7631728649139404,0.7845983505249023,0.6873438954353333,0.7410243153572083,0.7581838965415955,0.9271947741508484,0.7042591571807861
bn,2,critic,Critic,True,70000,70000,4x37x2560,-16.276790618896484,1417.0,49.0,-9.435820579528809,,0.0,1000,final_layer,1.0,0.7525936365127563,0.6977527737617493,0.669076681137085,0.7560099959373474,0.7304924726486206,0.8496147990226746,0.7030465602874756,0.7565271258354187,0.5315444469451904,0.7336157560348511
