stage,rank_threshold,score,example_pearson,example_spearman,language_pearson,language_spearman,score_mean_correct,score_mean_wrong,accuracy_aligned,language_abs_pearson,example_abs_pearson
shared_after_critic,1,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,5,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,10,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,25,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,50,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,100,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,250,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,500,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,1000,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,2500,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,5000,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_critic,10000,logprob_gain,0.2280014329636875,0.23158491286228475,0.7347202611561426,0.610479943754795,-6.790973844969042,-9.13411022675484,True,0.7347202611561426,0.2280014329636875
shared_after_planner,250,latent_reasoning_score,0.1298523315107938,0.13153552788087608,0.4497940247071043,0.4601378680539873,0.30339379754242246,0.24591738712776176,True,0.4497940247071043,0.1298523315107938
shared_after_planner,5,latent_reasoning_score,0.015244682741458739,0.020245953581673498,0.4401135015430506,0.5703934342567073,0.0019016968987712111,0.0012007684918347744,True,0.4401135015430506,0.015244682741458739
shared_after_planner,5,emerged,0.02027466832256763,0.020274668322567736,0.42150701550488745,0.5248738614641578,0.007021650087770626,0.0038424591738712775,True,0.42150701550488745,0.02027466832256763
shared_after_planner,25,latent_reasoning_score,0.08790018665843073,0.07790877167288177,0.420368138686379,0.346242356159436,0.056026916325336455,0.03218059558117195,True,0.420368138686379,0.08790018665843073
shared_after_critic,5,latent_reasoning_score,0.024879760935825352,0.03505823904171076,0.40535824635756484,0.49083085213191413,0.005558806319485079,0.0030019212295869357,True,0.40535824635756484,0.024879760935825352
shared_after_critic,250,latent_reasoning_score,0.11377016226627686,0.13185078350432422,0.40419672103948345,0.4236913042477309,0.5179929783499122,0.4417627281460135,True,0.40419672103948345,0.11377016226627686
shared_after_planner,25,emerged,0.07454844160239568,0.07454844160239557,0.3884813537454291,0.2990867579908676,0.14511410181392628,0.0941402497598463,True,0.3884813537454291,0.07454844160239568
shared_after_refiner,250,latent_reasoning_score,0.10887015078341293,0.13211019041848418,0.38542581542306115,0.36446563806256416,0.5968402574605032,0.515930195325008,True,0.38542581542306115,0.10887015078341293
shared_after_refiner,5,latent_reasoning_score,0.0321361206189936,0.03789419565054354,0.3825675106127848,0.5616438356164384,0.0093622001170275,0.004883125200128083,True,0.3825675106127848,0.0321361206189936
shared_after_planner,250,emerged,0.1006649603165801,0.1006649603165806,0.3785783410464356,0.3872447404414744,0.724400234055003,0.6282420749279539,True,0.3785783410464356,0.1006649603165801
shared_after_critic,25,latent_reasoning_score,0.078285527841778,0.0655054973219982,0.37697830812380384,0.3127853881278539,0.104959040374488,0.0680835734870317,True,0.37697830812380384,0.078285527841778
shared_with_judger,250,latent_reasoning_score,0.10411723425880975,0.12143849541599969,0.37419937204620524,0.4100238428203847,0.6187604086960435,0.5441513337766939,True,0.37419937204620524,0.10411723425880975
shared_after_refiner,5,emerged,0.03793512493872742,0.0379351249387275,0.3674660367224395,0.4850690069308323,0.01930953774136922,0.009606147934678195,True,0.3674660367224395,0.03793512493872742
