lang,idx,stage,roles,correct,prediction,gold,layer_strategy,path_len,best_rank,best_rank_position,final_rank,best_logprob,best_logprob_position,final_logprob,rank_threshold,emergence_position,latent_reasoning_score,emerged
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,1,,0.0,False
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,5,,0.0,False
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,10,,0.0,False
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,25,,0.0,False
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,50,,0.0,False
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,100,,0.0,False
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,250,,0.0,False
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,500,,0.0,False
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,1000,3,0.25,True
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,2500,2,0.5,True
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,5000,2,0.5,True
bn,0,shared_after_planner,planner,False,5,18,final_layer,4,729.0,3,729.0,-9.48420238494873,3,-9.48420238494873,10000,2,0.5,True
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,1,,0.0,False
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,5,,0.0,False
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,10,,0.0,False
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,25,,0.0,False
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,50,,0.0,False
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,100,,0.0,False
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,250,,0.0,False
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,500,,0.0,False
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,1000,3,0.625,True
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,2500,2,0.75,True
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,5000,2,0.75,True
bn,0,shared_after_critic,planner+critic,False,5,18,final_layer,8,729.0,3,2114.0,-9.48420238494873,3,-14.031720161437988,10000,2,0.75,True
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,1,,0.0,False
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,5,,0.0,False
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,10,,0.0,False
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,25,,0.0,False
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,50,,0.0,False
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,100,,0.0,False
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,250,,0.0,False
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,500,,0.0,False
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,1000,3,0.75,True
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,2500,2,0.8333333333333334,True
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,5000,2,0.8333333333333334,True
bn,0,shared_after_refiner,planner+critic+refiner,False,5,18,final_layer,12,729.0,3,33116.0,-9.48420238494873,3,-29.750032424926758,10000,2,0.8333333333333334,True
bn,0,shared_with_judger,planner+critic+refiner+judger,False,5,18,final_layer,13,1.0,12,1.0,-0.9760205149650574,12,-0.9760205149650574,1,12,0.07692307692307687,True
bn,0,shared_with_judger,planner+critic+refiner+judger,False,5,18,final_layer,13,1.0,12,1.0,-0.9760205149650574,12,-0.9760205149650574,5,12,0.07692307692307687,True
bn,0,shared_with_judger,planner+critic+refiner+judger,False,5,18,final_layer,13,1.0,12,1.0,-0.9760205149650574,12,-0.9760205149650574,10,12,0.07692307692307687,True
bn,0,shared_with_judger,planner+critic+refiner+judger,False,5,18,final_layer,13,1.0,12,1.0,-0.9760205149650574,12,-0.9760205149650574,25,12,0.07692307692307687,True
bn,0,shared_with_judger,planner+critic+refiner+judger,False,5,18,final_layer,13,1.0,12,1.0,-0.9760205149650574,12,-0.9760205149650574,50,12,0.07692307692307687,True
